Interval,GMTIntervalEnd,MTLF,Averaged Actual,BAA
07/20/2026 08:00:00,07/20/2026 13:00:00,39578,,SPP
07/20/2026 08:00:00,07/20/2026 13:00:00,3114,,SWPW
07/20/2026 07:00:00,07/20/2026 12:00:00,38067,,SPP
07/20/2026 07:00:00,07/20/2026 12:00:00,3008,,SWPW
07/20/2026 06:00:00,07/20/2026 11:00:00,37189,,SPP
07/20/2026 06:00:00,07/20/2026 11:00:00,2983,,SWPW
07/20/2026 05:00:00,07/20/2026 10:00:00,36828,,SPP
07/20/2026 05:00:00,07/20/2026 10:00:00,3031,,SWPW
07/20/2026 04:00:00,07/20/2026 09:00:00,37196,,SPP
07/20/2026 04:00:00,07/20/2026 09:00:00,3108,,SWPW
07/20/2026 03:00:00,07/20/2026 08:00:00,38105,,SPP
07/20/2026 03:00:00,07/20/2026 08:00:00,3228,,SWPW
07/20/2026 02:00:00,07/20/2026 07:00:00,39257,,SPP
07/20/2026 02:00:00,07/20/2026 07:00:00,3362,,SWPW
07/20/2026 01:00:00,07/20/2026 06:00:00,40913,,SPP
07/20/2026 01:00:00,07/20/2026 06:00:00,3549,,SWPW
07/20/2026 00:00:00,07/20/2026 05:00:00,42972,,SPP
07/20/2026 00:00:00,07/20/2026 05:00:00,3835,,SWPW
07/19/2026 23:00:00,07/20/2026 04:00:00,45824,,SPP
07/19/2026 23:00:00,07/20/2026 04:00:00,4132,,SWPW
07/19/2026 22:00:00,07/20/2026 03:00:00,48301,,SPP
07/19/2026 22:00:00,07/20/2026 03:00:00,4326,,SWPW
07/19/2026 21:00:00,07/20/2026 02:00:00,50306,,SPP
07/19/2026 21:00:00,07/20/2026 02:00:00,4474,,SWPW
07/19/2026 20:00:00,07/20/2026 01:00:00,52351,,SPP
07/19/2026 20:00:00,07/20/2026 01:00:00,4592,,SWPW
07/19/2026 19:00:00,07/20/2026 00:00:00,53589,,SPP
07/19/2026 19:00:00,07/20/2026 00:00:00,4633,,SWPW
07/19/2026 18:00:00,07/19/2026 23:00:00,53720,,SPP
07/19/2026 18:00:00,07/19/2026 23:00:00,4575,,SWPW
07/19/2026 17:00:00,07/19/2026 22:00:00,53225,,SPP
07/19/2026 17:00:00,07/19/2026 22:00:00,4466,,SWPW
07/19/2026 16:00:00,07/19/2026 21:00:00,52364,,SPP
07/19/2026 16:00:00,07/19/2026 21:00:00,4339,,SWPW
07/19/2026 15:00:00,07/19/2026 20:00:00,51264,,SPP
07/19/2026 15:00:00,07/19/2026 20:00:00,4137,,SWPW
07/19/2026 14:00:00,07/19/2026 19:00:00,49901,,SPP
07/19/2026 14:00:00,07/19/2026 19:00:00,3967,,SWPW
07/19/2026 13:00:00,07/19/2026 18:00:00,47996,,SPP
07/19/2026 13:00:00,07/19/2026 18:00:00,3748,,SWPW
07/19/2026 12:00:00,07/19/2026 17:00:00,45632,,SPP
07/19/2026 12:00:00,07/19/2026 17:00:00,3524,,SWPW
07/19/2026 11:00:00,07/19/2026 16:00:00,42893,,SPP
07/19/2026 11:00:00,07/19/2026 16:00:00,3325,,SWPW
07/19/2026 10:00:00,07/19/2026 15:00:00,40154,,SPP
07/19/2026 10:00:00,07/19/2026 15:00:00,3136,,SWPW
07/19/2026 09:00:00,07/19/2026 14:00:00,37320,,SPP
07/19/2026 09:00:00,07/19/2026 14:00:00,2972,,SWPW
07/19/2026 08:00:00,07/19/2026 13:00:00,34935,,SPP
07/19/2026 08:00:00,07/19/2026 13:00:00,2897,,SWPW
07/19/2026 07:00:00,07/19/2026 12:00:00,34137,,SPP
07/19/2026 07:00:00,07/19/2026 12:00:00,2897,,SWPW
07/19/2026 06:00:00,07/19/2026 11:00:00,34475,,SPP
07/19/2026 06:00:00,07/19/2026 11:00:00,2960,,SWPW
07/19/2026 05:00:00,07/19/2026 10:00:00,34906,,SPP
07/19/2026 05:00:00,07/19/2026 10:00:00,3036,,SWPW
07/19/2026 04:00:00,07/19/2026 09:00:00,35657,,SPP
07/19/2026 04:00:00,07/19/2026 09:00:00,3117,,SWPW
07/19/2026 03:00:00,07/19/2026 08:00:00,36608,,SPP
07/19/2026 03:00:00,07/19/2026 08:00:00,3233,,SWPW
07/19/2026 02:00:00,07/19/2026 07:00:00,37889,,SPP
07/19/2026 02:00:00,07/19/2026 07:00:00,3371,,SWPW
07/19/2026 01:00:00,07/19/2026 06:00:00,39569,,SPP
07/19/2026 01:00:00,07/19/2026 06:00:00,3531,,SWPW
07/19/2026 00:00:00,07/19/2026 05:00:00,41854,,SPP
07/19/2026 00:00:00,07/19/2026 05:00:00,3877,,SWPW
07/18/2026 23:00:00,07/19/2026 04:00:00,44292,,SPP
07/18/2026 23:00:00,07/19/2026 04:00:00,4105,,SWPW
07/18/2026 22:00:00,07/19/2026 03:00:00,46385,,SPP
07/18/2026 22:00:00,07/19/2026 03:00:00,4241,,SWPW
07/18/2026 21:00:00,07/19/2026 02:00:00,48055,,SPP
07/18/2026 21:00:00,07/19/2026 02:00:00,4381,,SWPW
07/18/2026 20:00:00,07/19/2026 01:00:00,50038,,SPP
07/18/2026 20:00:00,07/19/2026 01:00:00,4467,,SWPW
07/18/2026 19:00:00,07/19/2026 00:00:00,51197,,SPP
07/18/2026 19:00:00,07/19/2026 00:00:00,4532,,SWPW
07/18/2026 18:00:00,07/18/2026 23:00:00,51644,,SPP
07/18/2026 18:00:00,07/18/2026 23:00:00,4536,,SWPW
07/18/2026 17:00:00,07/18/2026 22:00:00,51323,,SPP
07/18/2026 17:00:00,07/18/2026 22:00:00,4451,,SWPW
07/18/2026 16:00:00,07/18/2026 21:00:00,50626,,SPP
07/18/2026 16:00:00,07/18/2026 21:00:00,4315,,SWPW
07/18/2026 15:00:00,07/18/2026 20:00:00,49518,,SPP
07/18/2026 15:00:00,07/18/2026 20:00:00,4113,,SWPW
07/18/2026 14:00:00,07/18/2026 19:00:00,48268,,SPP
07/18/2026 14:00:00,07/18/2026 19:00:00,3964,,SWPW
07/18/2026 13:00:00,07/18/2026 18:00:00,46576,,SPP
07/18/2026 13:00:00,07/18/2026 18:00:00,3759,,SWPW
07/18/2026 12:00:00,07/18/2026 17:00:00,44439,,SPP
07/18/2026 12:00:00,07/18/2026 17:00:00,3509,,SWPW
07/18/2026 11:00:00,07/18/2026 16:00:00,42154,,SPP
07/18/2026 11:00:00,07/18/2026 16:00:00,3315,,SWPW
07/18/2026 10:00:00,07/18/2026 15:00:00,39650,,SPP
07/18/2026 10:00:00,07/18/2026 15:00:00,3143,,SWPW
07/18/2026 09:00:00,07/18/2026 14:00:00,37098,,SPP
07/18/2026 09:00:00,07/18/2026 14:00:00,2998,,SWPW
07/18/2026 08:00:00,07/18/2026 13:00:00,34859,,SPP
07/18/2026 08:00:00,07/18/2026 13:00:00,2928,,SWPW
07/18/2026 07:00:00,07/18/2026 12:00:00,33897,,SPP
07/18/2026 07:00:00,07/18/2026 12:00:00,2926,,SWPW
07/18/2026 06:00:00,07/18/2026 11:00:00,34033,,SPP
07/18/2026 06:00:00,07/18/2026 11:00:00,2949,,SWPW
07/18/2026 05:00:00,07/18/2026 10:00:00,34310,,SPP
07/18/2026 05:00:00,07/18/2026 10:00:00,3023,,SWPW
07/18/2026 04:00:00,07/18/2026 09:00:00,34866,,SPP
07/18/2026 04:00:00,07/18/2026 09:00:00,3114,,SWPW
07/18/2026 03:00:00,07/18/2026 08:00:00,35771,,SPP
07/18/2026 03:00:00,07/18/2026 08:00:00,3239,,SWPW
07/18/2026 02:00:00,07/18/2026 07:00:00,37015,,SPP
07/18/2026 02:00:00,07/18/2026 07:00:00,3389,,SWPW
07/18/2026 01:00:00,07/18/2026 06:00:00,38736,,SPP
07/18/2026 01:00:00,07/18/2026 06:00:00,3535,,SWPW
07/18/2026 00:00:00,07/18/2026 05:00:00,40604,,SPP
07/18/2026 00:00:00,07/18/2026 05:00:00,3803,,SWPW
07/17/2026 23:00:00,07/18/2026 04:00:00,42955,,SPP
07/17/2026 23:00:00,07/18/2026 04:00:00,4043,,SWPW
07/17/2026 22:00:00,07/18/2026 03:00:00,44967,,SPP
07/17/2026 22:00:00,07/18/2026 03:00:00,4196,,SWPW
07/17/2026 21:00:00,07/18/2026 02:00:00,46509,,SPP
07/17/2026 21:00:00,07/18/2026 02:00:00,4373,,SWPW
07/17/2026 20:00:00,07/18/2026 01:00:00,48356,,SPP
07/17/2026 20:00:00,07/18/2026 01:00:00,4493,,SWPW
07/17/2026 19:00:00,07/18/2026 00:00:00,49662,,SPP
07/17/2026 19:00:00,07/18/2026 00:00:00,4565,,SWPW
07/17/2026 18:00:00,07/17/2026 23:00:00,50154,,SPP
07/17/2026 18:00:00,07/17/2026 23:00:00,4507,,SWPW
07/17/2026 17:00:00,07/17/2026 22:00:00,50286,,SPP
07/17/2026 17:00:00,07/17/2026 22:00:00,4396,,SWPW
07/17/2026 16:00:00,07/17/2026 21:00:00,49948,,SPP
07/17/2026 16:00:00,07/17/2026 21:00:00,4273,,SWPW
07/17/2026 15:00:00,07/17/2026 20:00:00,49187,,SPP
